AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Chen, Min; Tang, Ai-tao; Xiao, Xuan	TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA	milling time; carbothermic reduction; ilmenite	[Chen, Min; Xiao, Xuan] Panzhihua Univ, Coll Mat Engn, Panzhihua 617000, Peoples R China; [Tang, Ai-tao] Chongqing Univ, Coll Mat Sci & Engn, Chongqing 400044, Peoples R China	Chen, M (reprint author), Panzhihua Univ, Coll Mat Engn, Panzhihua 617000, Peoples R China.	Program for Application Basic Research of Sichuan Province, China [2014JY0132]; Technology Research Program of Panzhihua City, China [2013CY-G-7, 2014CY-G-26-1, 2015CY-G-18]; Innovative Project of Panzhihua City, China [2015TX-11]	1	1003-6326	2015	WOS:000368066200041
Li, Xiaowei; Zhao, Junhai; Ma, Guowei; Huang, Shuanghua	ADVANCES IN STRUCTURAL ENGINEERING	traditional building; timber structure; mortise-tenon joint; hysteretic model; semi-rigid joint	[Li, Xiaowei; Huang, Shuanghua] Panzhihua Univ, Sichuan Prov Key Lab Comprehens Dev & Utilizat In, Panzhihua, Peoples R China; [Li, Xiaowei] Southwest Jiaotong Univ, Dept Tunnel & Underground Engn, Chengdu, Peoples R China; [Li, Xiaowei; Ma, Guowei] Univ Western Australia, Sch Civil Environm & Min Engn, Crawley, WA, Australia; [Zhao, Junhai] Changan Univ, Sch Civil Engn, Xian, Peoples R China	Li, XW (reprint author), Panzhihua Univ, Sichuan Prov Key Lab Comprehens Dev & Utilizat In, Panzhihua, Peoples R China.	Cultivating Program from Panzhihua University [2012PY056]	0	1369-4332	2015	WOS:000367098500007
Xu Zhefeng; Liu Shan; Gan Guoyou; Yi Jianhong	OPTOELECTRONICS AND ADVANCED MATERIALS-RAPID COMMUNICATIONS	Tannic acid; Hot Dip Galvanizing; Chromium free passivation liquid; Coating; Film forming mechanism	[Xu Zhefeng; Gan Guoyou; Yi Jianhong] Kunming Univ Sci & Technol, Fac Mat Sci & Engn, Kunming 650093, Peoples R China; [Xu Zhefeng] PanGang Grp Res Inst Co Ltd, State Key Lab Vanadium & Titanium Resources Compr, Panzhihua 617000, Sichuan, Peoples R China; [Liu Shan] Panzhihua Univ, Dept Biol & Chem Engn, Panzhihua 617000, Peoples R China	Gan, GY (reprint author), Kunming Univ Sci & Technol, Fac Mat Sci & Engn, Kunming 650093, Peoples R China.	Ministry of Science and Technology of the People's Republic of China [2009AA03Z529]	0	1842-6573	2015	WOS:000368046800029
Zhang, Rui; Zhang, Yong; Li, He	DNA AND CELL BIOLOGY		[Zhang, Rui] Chongqing Med Univ, Dept Resp Med, Affiliated Hosp 1, Chongqing 400016, Peoples R China; [Zhang, Yong] Panzhihua Univ, Dept Resp Med, Affiliated Hosp, Panzhihua, Peoples R China; [Li, He] Chongqing Med Univ, Dept Resp Med, Affiliated Hosp 2, Chongqing 400016, Peoples R China	Zhang, R (reprint author), Chongqing Med Univ, Dept Resp Med, Affiliated Hosp 1, 1 Youyi Rd, Chongqing 400016, Peoples R China.		1	1044-5498	2015	WOS:000364313900007
Li, Xiaowei; Zhao, Junhai; Ma, Guowei; Chen, Wei	ENGINEERING STRUCTURES	Traditional building; Timber structure; Mortise-tenon joint; Hysteretic model; Semi-rigid joint	[Li, Xiaowei; Chen, Wei] Panzhihua Univ, Sichuan Prov Key Lab Comprehens Dev & Utilizat In, Panzhihua 617000, Sichuan, Peoples R China; [Li, Xiaowei] Southwest Jiaotong Univ, Dept Tunnel & Underground Engn, Chengdu 610031, Peoples R China; [Zhao, Junhai] Changan Univ, Sch Civil Engn, Xian 710064, Peoples R China; [Ma, Guowei] Univ Western Australia, Sch Civil Environm & Min Engn, Crawley, WA 6009, Australia	Li, XW (reprint author), Panzhihua Univ, Sch Civil & Architectural Engn, Panzhihua 617000, Sichuan, Peoples R China.	Panzhihua University [2012PY056]	3	0141-0296	2015	WOS:000357351000013
Zhao, Min; Liao, Ni; Zhuo, Ying; Chai, Ya-Qin; Wang, Ji-Peng; Yuan, Ruo	ANALYTICAL CHEMISTRY		[Zhao, Min; Liao, Ni; Zhuo, Ying; Chai, Ya-Qin; Wang, Ji-Peng; Yuan, Ruo] Southwest Univ, Key Lab Luminescent & Real Time Analyt Chem, Minist Educ, Coll Chem & Chem Engn, Chongqing 400715, Peoples R China; [Liao, Ni] Panzhihua Univ, Coll Biol & Chem Engn, Panzhihua 617000, Peoples R China	Zhuo, Y (reprint author), Southwest Univ, Key Lab Luminescent & Real Time Analyt Chem, Minist Educ, Coll Chem & Chem Engn, Chongqing 400715, Peoples R China.	NNSF of China [21275119, 51473136]; Fundamental Research Funds for the Central Universities, China [XDJK2015A002, XDJK2014A012]	5	0003-2700	2015	WOS:000359277900019
Yang, Ying; Tian, Congxue	RESEARCH ON CHEMICAL INTERMEDIATES	Fe-doped sulfated titania photocatalyst; Industrial titanyl sulfate; Synthesis; Characterization	[Yang, Ying; Tian, Congxue] Panzhihua Univ, Coll Biol & Chem Engn, Panzhihua 617000, Peoples R China	Yang, Y (reprint author), Panzhihua Univ, Coll Biol & Chem Engn, Panzhihua 617000, Peoples R China.	National Natural Science Foundation of China [50804025]; Applied and Basic Research Program of Sichuan Province, China [2008JY0140]; Youths Foundation of Sichuan Province, China [09ZQ026-067]; Talents Innovation Project of Panzhihua City, China [2009TX-5(1)]; Promoting Industrialization Program of Panzhihua City, China [2011CY-G-23]	1	0922-6168	2015	WOS:000357133500023
Bai, Lang; Gu, Gangxu; Xiang, Gang; Zhang, Xi	SCIENTIFIC REPORTS		[Bai, Lang; Gu, Gangxu; Xiang, Gang; Zhang, Xi] Sichuan Univ, Coll Phys Sci & Technol, Chengdu 610064, Peoples R China; [Bai, Lang] Panzhihua Univ, Coll Mat Engn, Panzhihua 617000, Peoples R China; [Bai, Lang; Gu, Gangxu; Xiang, Gang; Zhang, Xi] Sichuan Univ, Minist Educ, Key Lab High Energy Dens Phys & Technol, Chengdu 610064, Peoples R China	Xiang, G (reprint author), Sichuan Univ, Coll Phys Sci & Technol, Chengdu 610064, Peoples R China.	Natural Science Foundation of China (NSFC) [11174212]; Program for New Century Excellent Talents in University (NCET) [110351]; SRF for ROCS of State Education Ministry of China	1	2045-2322	2015	WOS:000358448600001
Zhang, Jing; Lei, Hang	COMPUTING	Internetware; Reliability; Cost; Initial value; Pre-distribution; Method; Algorithm	[Zhang, Jing; Lei, Hang] Univ Elect Sci & Technol China, Sch Comp Sci & Engn, Chengdu 610054, Sichuan, Peoples R China; [Zhang, Jing] Panzhihua Univ, Sch Sci & Engn, Panzhihua 617000, Sichuan, Peoples R China	Zhang, J (reprint author), Univ Elect Sci & Technol China, Sch Comp Sci & Engn, 4,Sect 2,North Jianshe Rd, Chengdu 610054, Sichuan, Peoples R China.	national science and technology support plan of Ministry of science and technology [2012BAH87F03]; Foundation Project of Sichuan Education Department [14ZA0341]	0	0010-485X	2015	WOS:000356943700006
Liao, Y. F.; Wang, Y.; Huang, Y.; Zha, S. F.; Liu, J. J.; Wang, Z. K.; Yin, Y. P.; Liao, Y. F.; Wang, Y.	ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY	McMenA; gene function; RNAi; cantharidin; biosynthesis	[Liao, Y. F.; Wang, Y.; Huang, Y.; Zha, S. F.; Liu, J. J.; Wang, Z. K.; Yin, Y. P.] Chongqing Univ, Chongqing Engn Res Ctr Fungal Insecticides, Sch Life Sci, Chongqing, Peoples R China; [Liao, Y. F.] Tianjin Med Univ, Clin Med Coll, Tianjin, Peoples R China; [Wang, Y.] Panzhihua Univ, Panzhihua, Peoples R China	Yin, YP (reprint author), Chongqing Univ, Chongqing Engn Res Ctr Fungal Insecticides, Sch Life Sci, Chongqing, Peoples R China.	National Science Foundation of China [30873377]	0	0739-4462	2015	WOS:000356626200002
