AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Tan, Chao; Chen, Hui; Zhu, Wanping	BIOLOGICAL TRACE ELEMENT RESEARCH	Trace element; Boosting; Anorexia; Breast cancer; Classification; Regression	[Tan, Chao; Zhu, Wanping] Yibin Univ, Dept Chem & Chem Engn, Yibin 644007, Peoples R China; [Tan, Chao] Yibin Univ, Key Lab Computat Phys, Yibin 644007, Peoples R China; [Chen, Hui] N Sichuan Med Coll, Clin Coll, Nanchong 637000, Peoples R China	Tan, C (reprint author), Yibin Univ, Dept Chem & Chem Engn, Yibin 644007, Peoples R China.	Sichuan Province Science Foundation for Youths [09ZQ026-066]; Yibin University [2008B06]	4	0163-4984	2010	WOS:000276344000004
Zhang, Shi-sheng; Goudarzi, M.; Saadati, R.; Vaezpour, S. M.	APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION	intuitionistic Menger inner product space; Volterra integral equation; h-type t-norm; fixed point theorem	[Goudarzi, M.; Saadati, R.; Vaezpour, S. M.] Amir Kabir Univ Technol, Dept Math & Comp Sci, Tehran 15914, Iran; [Zhang, Shi-sheng] Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China	Saadati, R (reprint author), Amir Kabir Univ Technol, Dept Math & Comp Sci, 424 Hafez Ave, Tehran 15914, Iran.	Natural Science Foundation of Yibin University [2009Z01]	1	0253-4827	2010	WOS:000276509700002
Yang Wan'an; Hu Chao; Meng, Max Q. H.; Dai Houde; Chen Dongmei	CHINESE JOURNAL OF ELECTRONICS	Wireless active endoscope; 6D localization and orientation; Rectangle magnet; Nonlinear minimization	[Yang Wan'an] Chinese Acad Sci, Inst Comp Technol, Beijing 100190, Peoples R China; [Yang Wan'an; Hu Chao; Meng, Max Q. H.; Dai Houde; Chen Dongmei] Chinese Univ Hong Kong, Shenzhen Inst Adv Technol, Chinese Acad Sci, Shenzhen Inst Adv Integrat Technol, Shenzhen 518067, Peoples R China; [Meng, Max Q. H.] Chinese Univ Hong Kong, Dept Elect Engn, Shatin, Hong Kong, Peoples R China; [Yang Wan'an] Chinese Acad Sci, Grad Sch, Beijing 100049, Peoples R China; [Yang Wan'an] Yibin Univ, Dept Comp & Informat Technol, Yibin 644000, Peoples R China	Yang, WA (reprint author), Chinese Acad Sci, Inst Comp Technol, Beijing 100190, Peoples R China.	Chinese National High Technology Research [2007AA01Z308]; Hong Kong Government [CUHK4213/04E]	6	1022-4653	2010	WOS:000277070900035
Chang, Shih-sen; Chan, Chi Kin; Lee, H. W. Joseph; Yang, Li	APPLIED MATHEMATICS AND COMPUTATION	A system of mixed equilibrium problem; Fixed point; An infinite family of strictly pseudocontractive mappings; Nonexpansive mappings; eta-Strongly convex functions	[Chang, Shih-sen] Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China; [Chan, Chi Kin; Lee, H. W. Joseph] Univ Hong Kong, Dept Appl Math, Hong Kong, Hong Kong, Peoples R China; [Yang, Li] SW Univ Sci & Technol, Dept Math, Mianyang 621002, Sichuan, Peoples R China	Chang, SS (reprint author), Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China.	Natural Science Foundation of Sichuan Province [2009A132]; Yibin University [2009Z3]	12	0096-3003	2010	WOS:000274719600005
Chai Xiaoyan; Shang Shuyong; Liu Gaihuan; Tao Xumei; Li Xiang; Bai Meigui; Dai Xiaoyan; Yin Yongxiang	CHINESE JOURNAL OF CATALYSIS	atmospheric high frequency cold plasma jet; nickel; alumina; supported catalyst; methane; carbon dioxide; reforming	[Chai Xiaoyan; Shang Shuyong; Liu Gaihuan; Tao Xumei; Li Xiang; Bai Meigui; Dai Xiaoyan; Yin Yongxiang] Sichuan Univ, Sch Chem Engn, Ctr Plasma Applicat, Chengdu 610065, Sichuan, Peoples R China; [Shang Shuyong] Yibin Univ, Sch Chem & Chem Engn, Yibin 644007, Sichuan, Peoples R China; [Liu Gaihuan] China Petr Engn Co Ltd, Southwest Co, Chengdu 610017, Sichuan, Peoples R China; [Li Xiang] SW Univ Sci & Technol, Coll Sci, Mianyang 621010, Sichuan, Peoples R China	Chai, XY (reprint author), Sichuan Univ, Sch Chem Engn, Ctr Plasma Applicat, Chengdu 610065, Sichuan, Peoples R China.		12	0253-9837	2010	WOS:000276535300019
Zhang, Shi Sheng	ACTA MATHEMATICA SINICA-ENGLISH SERIES	Lipschitzian pseudocontraction semigroup; demi-closed principle; common fixed point; Opial condition; strongly pseudocontractive mapping; implicit iteration process	Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China	Zhang, SS (reprint author), Yibin Univ, Dept Math, Yibin 644007, Sichuan, Peoples R China.	Natural Science Foundation of Yibin University [2009Z3]	5	1439-8516	2010	WOS:000274398300011
Shao Ju-Xiang; Tan Ning-Xin; Liu Wei-Xiong; Li Xiang-Yuan	ACTA PHYSICO-CHIMICA SINICA	Kinetics simulation; Plug flow reactor; Combustion of ethylene; Contaminant	[Shao Ju-Xiang; Tan Ning-Xin; Li Xiang-Yuan] Sichuan Univ, Coll Chem Engn, Chengdu 610065, Peoples R China; [Shao Ju-Xiang] Yibin Univ, Key Lab Computat Phys, Yibin 644000, Sichuan Prov, Peoples R China; [Liu Wei-Xiong] China Aerodynam Res & Dev Ctr, Mianyang 621000, Sichuan Prov, Peoples R China	Li, XY (reprint author), Sichuan Univ, Coll Chem Engn, Chengdu 610065, Peoples R China.	National Natural Science Foundation of China [20533070, 20873087]	1	1000-6818	2010	WOS:000274701200002
Fu, Xiaohong; Pu, Lan; Wang, Jinyue; Zhong, Zhaoyang	IONICS	Amperometric immunosensor; Hepatitis B surface antigen; Organic-inorganic hybrid film; Room temperature ionic liquids	[Fu, Xiaohong; Pu, Lan; Wang, Jinyue] Yibin Univ, Sch Chem & Chem Engn, Yibin 644000, Peoples R China; [Zhong, Zhaoyang] Third Mil Med Univ, Dept Canc Ctr, Daping Hosp, Chongqing 400042, Peoples R China	Fu, XH (reprint author), Yibin Univ, Sch Chem & Chem Engn, Yibin 644000, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [08zb001]	7	0947-7047	2010	WOS:000273810800009
Wu, Yu; Li, Xiaopei; Deng, Shengfu	ADVANCES IN DIFFERENCE EQUATIONS		[Deng, Shengfu] Inst Appl Phys & Computat Math, Beijing 100088, Peoples R China; [Wu, Yu] Yibin Univ, Yibin 644007, Sichuan, Peoples R China; [Li, Xiaopei] Zhanjiang Normal Univ, Dept Math, Zhanjiang 524048, Guangdong, Peoples R China	Deng, SF (reprint author), Inst Appl Phys & Computat Math, POB 8009, Beijing 100088, Peoples R China.		6	1687-1847	2010	WOS:000274962600001
Fu, Xiao-Hong	ANALYTICAL LETTERS	Carbohydrate antigen-125; Electrochemical immunoassay; Multifunctional magnetic beads; Poly(amidoamine) dendrimer	Yibin Univ, Sch Chem & Chem Engn, Yibin 644000, Peoples R China	Fu, XH (reprint author), Yibin Univ, Sch Chem & Chem Engn, Yibin 644000, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [08zb001]; Yibin University, China [2005Z14]	6	0003-2719	2010	WOS:000274033200009
