AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Huang, Yong; Lin, Jingli; Giess, Mohaned	IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT	Band-pass signal; Cramer-Rao lower bound; phase estimation; time delay estimation	[Huang, Yong; Lin, Jingli] Xihua Univ, Sch Elect & Informat Engn, Chengdu 610039, Peoples R China; [Giess, Mohaned] UESTC Univ, Sch Elect, Chengdu, Peoples R China	Huang, Y (reprint author), Xihua Univ, Sch Elect & Informat Engn, Chengdu 610039, Peoples R China.	Sichuan Provincial Department of Education, Sichuan Province, China [09ZC101]	2	0018-9456	2013	WOS:000325820200015
Yang, J.; Yang, W. Q.; Zhang, Y. Y.; Ma, Y.; Ma, M. L.	ASIAN JOURNAL OF CHEMISTRY	Biological activities; Diphenyl ethers; QSAR; DFT; Synthesis	[Yang, J.; Yang, W. Q.; Zhang, Y. Y.; Ma, Y.; Ma, M. L.] Xihua Univ, Key Lab Adv Sci Computat Sichuan Prov, Fac Phys & Chem, Chengdu 610039, Peoples R China	Ma, ML (reprint author), Xihua Univ, Key Lab Adv Sci Computat Sichuan Prov, Fac Phys & Chem, Chengdu 610039, Peoples R China.	NSFC [B020601]; NSF of Sichuan [07ZA109]; foundation of Xihua Univsrsity [XZD0912-09]	0	0970-7077	2013	WOS:000325204200075
Liao, M.; Li, B.; Horstemeyer, M. F.	COMPUTATIONAL MATERIALS SCIENCE	Molecular dynamics; Precipitate hardening; Prismatic dislocation; Magnesium	[Liao, M.] Xihua Univ, Sch Mech Engn & Automat, Chengdu 610039, Sichuan, Peoples R China; [Li, B.; Horstemeyer, M. F.] Mississippi State Univ, Ctr Adv Vehicular Syst, Starkville, MS 39759 USA	Liao, M (reprint author), Xihua Univ, Sch Mech Engn & Automat, Chengdu 610039, Sichuan, Peoples R China.	Key Project of Sichuan Provincial Education Department [10ZA101]; Key Lab of Ministry of Education of China [SBZDPY-11-22]; Scientific Research Fund of Xihua University [R0620204]; Center for Advanced Vehicular Systems, Mississippi State University	3	0927-0256	2013	WOS:000324471100069
Qin, Keyun; Pei, Zheng; Yang, Jilin; Xu, Yang	INFORMATION SCIENCES	Rough set; CCD lattice; Neighborhood; Lower approximation operator; Upper approximation operator	[Qin, Keyun; Xu, Yang] Southwest Jiaotong Univ, Coll Math, Chengdu 610031, Sichuan, Peoples R China; [Pei, Zheng] Xihua Univ, Sch Math & Comp Engn, Chengdu 610039, Sichuan, Peoples R China; [Yang, Jilin] Sichuan Normal Univ, Coll Fundamental Educ, Chengdu 610068, Sichuan, Peoples R China	Qin, KY (reprint author), Southwest Jiaotong Univ, Coll Math, Chengdu 610031, Sichuan, Peoples R China.	National Natural Science Foundation of China [61175044, 61175055]; Sichuan Key Technology Research and Development Program [2011FZ0051]	9	0020-0255	2013	WOS:000323808200008
Fan, Qunchao; Li, Huidong; Feng, Hao; Sun, Weiguo; Lu, Tongxiang; Simmonett, Andrew C.; Xie, Yaoming; Schaefer, Henry F., III	JOURNAL OF PHYSICAL CHEMISTRY A		[Fan, Qunchao; Li, Huidong; Feng, Hao; Sun, Weiguo] Xihua Univ, Sch Phys & Chem, Res Ctr Adv Computat, Chengdu 610039, Peoples R China; [Lu, Tongxiang; Simmonett, Andrew C.; Xie, Yaoming; Schaefer, Henry F., III] Univ Georgia, Ctr Computat Quantum Chem, Athens, GA 30602 USA	Feng, H (reprint author), Xihua Univ, Sch Phys & Chem, Res Ctr Adv Computat, Chengdu 610039, Peoples R China.	National Natural Science Foundation of China [11204244, 11074204]; Program for New Century Excellent Talents [NCET-10-0949]; Youth Foundation of the Department of Science and Technology, China [2012JQ0055]; U.S. Department of Energy, Offices of Basis Energy Sciences, Division of Chemistry [DE-FG02-97ER1474]	2	1089-5639	2013	WOS:000326300600083
Lu, Yun; Hao, Liang; Sagara, Katsuhiro; Yoshida, Hiroyuki; Jin, Yingrong	MATERIALS TRANSACTIONS	thermoeleetrics; non-stoichiometric; titanium dioxide; reduction treatment	[Lu, Yun; Hao, Liang; Sagara, Katsuhiro] Chiba Univ, Grad Sch Fac Engn, Chiba 2638522, Japan; [Yoshida, Hiroyuki] Chiba Ind Technol Res Inst, Chiba 2640017, Japan; [Jin, Yingrong] Xihua Univ, Sch Mat Sci & Engn, Chengdu 610039, Peoples R China	Lu, Y (reprint author), Chiba Univ, Grad Sch Fac Engn, Chiba 2638522, Japan.		0	1345-9678	2013	WOS:000327687800018
Zhang, Shi-Chang	PHYSICS OF PLASMAS		[Zhang, Shi-Chang] Xihua Univ, Res Ctr Adv Computat, Chengdu 610039, SC, Peoples R China; [Zhang, Shi-Chang] Southwest Jiaotong Univ, Inst Photoelect, Chengdu 610031, SC, Peoples R China	Zhang, SC (reprint author), Xihua Univ, Res Ctr Adv Computat, Chengdu 610039, SC, Peoples R China.	Open Research Fund of Sichuan Province Key Laboratories (Research Center for Advanced Computation, Xihua University) [SZJJ2013-025]	0	1070-664X	2013	WOS:000326644100096
Chen, Yong-Qiang; Yang, Xiao-Ming	ASIAN JOURNAL OF CHEMISTRY	Diffusion coefficient; Hydrogen bond; Dipole auto-correlation function; Mutual diffusion	[Chen, Yong-Qiang; Yang, Xiao-Ming] Xihua Univ, Coll Elect Engn & Informat Technol, Chengdu 610039, Peoples R China	Chen, YQ (reprint author), Xihua Univ, Coll Elect Engn & Informat Technol, Chengdu 610039, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [10ZA098]	0	0970-7077	2013	WOS:000325096400135
Wang, Xuesong; Feng, Hui; Wang, Ling; Tang, Xiaorong	ASIAN JOURNAL OF CHEMISTRY	Antifungal activity; 2-(4-Methoxyphenylcarbamoyl)phenyl acetate; 2-(4-Methylphenylcarbamoyl)phenyl acetate	[Wang, Xuesong; Wang, Ling; Tang, Xiaorong] Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China; [Feng, Hui] Xihua Univ, Sch Bioengn, Chengdu 610039, Peoples R China	Tang, XR (reprint author), Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [09ZA113]; Key Scientific Research Fund of Xihua University [Z0913302]; Innovation Fund of Postgraduate of Xihua University [ycjj201301]; Organic Chemistry Key Discipline of Xihua University	0	0970-7077	2013	WOS:000325096400130
Fan, Qunchao; Feng, Hao; Sun, Weiguo; Li, Huidong; Xie, Yaoming; King, R. Bruce	INORGANICA CHIMICA ACTA	Chromium; Butadiene complexes; Metal-metal bonding; Metal carbonyls; Density functional theory	[Fan, Qunchao; Feng, Hao; Sun, Weiguo] Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China; [Feng, Hao; Sun, Weiguo; Li, Huidong] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Sichuan, Peoples R China; [Xie, Yaoming; King, R. Bruce] Univ Georgia, Dept Chem, Athens, GA 30602 USA; [Xie, Yaoming; King, R. Bruce] Univ Georgia, Ctr Computat Chem, Athens, GA 30602 USA	Feng, H (reprint author), Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China.	National Natural Science Foundation of China [11204244, 11074204]; Program for New Century Excellent Talents in University [NCET-10-0949]; Youth Foundation of the Department of Science and Technology [2012JQ0055]; Fund of Key Laboratory of Advanced Scientific Computation, Xihua University, China; US National Science Foundation [CHE-1057466]	0	0020-1693	2013	WOS:000325471600026
