AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Huang, Ting-Hong; Yan, Jie; Liu, Ye-Feng; Xie, Yun-Tao; Jia, Chen	AUSTRALIAN JOURNAL OF CHEMISTRY		[Huang, Ting-Hong; Yan, Jie; Liu, Ye-Feng; Xie, Yun-Tao] Sichuan Univ Sci & Engn, Key Labs Fine Chem & Surfactants Sichuan Prov Uni, Mat Corros & Protect Key Lab Sichuan Prov, Coll Mat & Chem Engn, Zigong 643000, Peoples R China; [Jia, Chen] Chinese Acad Sci, Lanzhou Inst Chem Phys, Key Lab Chem Northwestern Plant Resources, Key Lab Nat Med Icine Gansu Prov, Lanzhou 730000, Peoples R China	Huang, TH (reprint author), Sichuan Univ Sci & Engn, Key Labs Fine Chem & Surfactants Sichuan Prov Uni, Mat Corros & Protect Key Lab Sichuan Prov, Coll Mat & Chem Engn, Zigong 643000, Peoples R China.	Talent Introduction Funds of Sichuan University of Science and Engineering [2014RC29]	4	0004-9425	2015	WOS:000357879000016
Nie, Xin; Zhang, Li; Hu, Zongli; Liu, Yi; Zhao, Zhiping	ACTA BIOCHIMICA POLONICA	Rb. sphaeroides; HNP3; expression system; antimicrobial activity; spectral absorption	[Nie, Xin; Zhang, Li; Liu, Yi; Zhao, Zhiping] Sichuan Univ Sci & Engn, Sch Chem & Pharmaceut Engn, Zigong 643000, Peoples R China; [Nie, Xin; Zhang, Li; Liu, Yi; Zhao, Zhiping] Sichuan Univ Sci & Engn, Inst Pharmaceut Engn Technol & Applicat, Zigong 643000, Peoples R China; [Hu, Zongli] Chongqing Univ, Bioengn Coll, Chongqing 400044, Peoples R China	Zhao, ZP (reprint author), Sichuan Univ Sci & Engn, Sch Chem & Pharmaceut Engn, Zigong 643000, Peoples R China.	National Natural Science Foundation of China [31100089]; Research Project of Sichuan University of Science Engineering [2011RC12, 2014KY02]; Scientific Research Foundation of the Education Department of Sichuan Province [15ZA0222]; Research Project of Liquor Making Biological Technology and Application of Key Laboratory of Sichuan Province [NJ2013-06]; Sichuan Province Undergraduate Training Programs for Innovation and Entrepreneurship [201410622021]	0	0001-527X	2015	WOS:000357363500016
Hu, Z.; Yu, H. L.	PETROLEUM SCIENCE AND TECHNOLOGY	diesel; basic nitrogen compounds; removal; oxidative; orthogonal tests	[Hu, Z.; Yu, H. L.] Sichuan Univ Sci & Engn, Coll Mat & Chem Engn, Zigong City, Sichuan Provinc, Peoples R China	Hu, Z (reprint author), Sichuan Univ Sci & Engn, Coll Mat & Chem Engn, 180 Sch St,Huixing Rd, Zigong City, Sichuan Provinc, Peoples R China.	Key Laboratories of Fine Chemicals and Surfactants in Sichuan Provincial Universities [2013JX02]; material corrosion and protection key laboratory of sichuan province [2013CL15]; Scientific Research Foundation of Sichuan University of Science Engineering [2014PY09]	1	1091-6466	2015	WOS:000357696800002
Lin, Cheng; Tang, Aihua; Mu, Hao; Wang, Wenwei; Wang, Chun	JOURNAL OF CHEMISTRY		[Lin, Cheng; Tang, Aihua; Mu, Hao; Wang, Wenwei; Wang, Chun] Beijing Inst Technol, Sch Mech Engn, Natl Engn Lab Elect Vehicles, Beijing 100081, Peoples R China; [Lin, Cheng; Tang, Aihua; Mu, Hao; Wang, Wenwei; Wang, Chun] Beijing Inst Technol, Collaborat Innovat Ctr Elect Vehicles Beijing, Beijing 100081, Peoples R China; [Tang, Aihua; Wang, Chun] Sichuan Univ Sci & Engn, Sch Mech Engn, Zigong 643000, Peoples R China	Tang, AH (reprint author), Beijing Inst Technol, Sch Mech Engn, Natl Engn Lab Elect Vehicles, Beijing 100081, Peoples R China.	National Sci-Tech Support Plan [2014BAG02B02]; International S&T Cooperation Program of China (ISTCP) [2015DFG81930]	2	2090-9063	2015	WOS:000357470200001
Li, Fang-zhen; Xie, Jia-qing; Feng, Fa-mei	NEW JOURNAL OF CHEMISTRY		[Li, Fang-zhen; Xie, Jia-qing] Chongqing Univ Technol, Coll Chem & Chem Engn, Chongqing 400054, Peoples R China; [Feng, Fa-mei] Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Zigong 643000, Sichuan, Peoples R China	Feng, FM (reprint author), Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Zigong 643000, Sichuan, Peoples R China.	Chinese National Natural Science Foundation [21173274]; Major science and technology project of Zigong city [2013X03]; Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of High Education [LYJ14201]	6	1144-0546	2015	WOS:000357106400080
He, Jinjin; Zhong, Junbo; Li, Jianzhang; Huang, Shengtian; Zeng, Jun	SYNTHESIS AND REACTIVITY IN INORGANIC METAL-ORGANIC AND NANO-METAL CHEMISTRY	alpha-Fe2O3; Pd; photocatalytic performance; decolorization	[He, Jinjin; Zhong, Junbo; Li, Jianzhang; Huang, Shengtian; Zeng, Jun] Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Key Lab Green Catalysis Higher Educ Inst Sichuan, Zigong 643000, Peoples R China	Li, JZ (reprint author), Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Key Lab Green Catalysis Higher Educ Inst Sichuan, Zigong 643000, Peoples R China.	Science and Technology Department of Sichuan province [2013JY0080]; Education Department of Sichuan province [11ZA27]; Sichuan University of Science and Engineering [Y201216]; Construct Program of the Discipline in Sichuan University of Science and Engineering; Project of Zigong city [2012x07]	2	1553-3174	2015	WOS:000356222600007
He Lin-Xin; Lu Lu; Wang Jun; Xie Bin; Zou Li-Ke	SYNTHESIS AND REACTIVITY IN INORGANIC METAL-ORGANIC AND NANO-METAL CHEMISTRY	carboxylate; supramolecular complex; crystal structure; luminescence	[He Lin-Xin; Lu Lu; Wang Jun; Xie Bin; Zou Li-Ke] Sichuan Univ Sci & Engn, Inst Functionalized Mat, Zigong 643000, Peoples R China; [He Lin-Xin; Lu Lu; Wang Jun; Xie Bin; Zou Li-Ke] Sichuan Univ Sci & Engn, Sch Chem & Pharmaceut Engn, Zigong 643000, Peoples R China	He, LX (reprint author), Sichuan Univ Sci & Engn, Inst Functionalized Mat, Zigong 643000, Peoples R China.	Sichuan University of Science and Engineering; Institute of Functionalized Materials [2012KY12, 2014PY01]; Key Laboratory of Green Catalysis of Sichuan Institutes of High Education [LYJ1207]; Education Committee of Sichuan Province [12ZA090, 13ZB0131, 14ZB0220]	0	1553-3174	2015	WOS:000356222600011
Liu, Shitian	TURKISH JOURNAL OF MATHEMATICS	Order component; element order; alternating group; degree pattern; prime graph; Simple group	Sichuan Univ Sci & Engn, Sch Sci, Zigong, Sichaun, Peoples R China	Liu, ST (reprint author), Sichuan Univ Sci & Engn, Sch Sci, Zigong, Sichaun, Peoples R China.		2	1300-0098	2015	WOS:000356466300008
Wu, Wei-Ping; Li, Zhi-Sen; Liu, Bo; Liu, Ping; Xi, Zheng-Ping; Wang, Yao-Yu	DALTON TRANSACTIONS		[Wu, Wei-Ping; Li, Zhi-Sen; Liu, Bo; Liu, Ping; Xi, Zheng-Ping; Wang, Yao-Yu] NW Univ Xian, Coll Chem & Mat Sci, Shaanxi Key Lab Phys Inorgan Chem, Key Lab Synthet & Nat Funct Mol Chem,Minist Educ, Xian 710069, Peoples R China; [Wu, Wei-Ping] Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Inst Funct Mat, Zigong 643000, Peoples R China	Wang, YY (reprint author), NW Univ Xian, Coll Chem & Mat Sci, Shaanxi Key Lab Phys Inorgan Chem, Key Lab Synthet & Nat Funct Mol Chem,Minist Educ, Xian 710069, Peoples R China.	NSF of China [21371142, 20931005, 91022004, 21201139]; NSF of Shaanxi, China [2013JQ2016]	4	1477-9226	2015	WOS:000355557800004
Huang, Ting-Hong; Yan, Jie; Yang, Hu; Du, Huai-Ming; Zhang, Min-Hua	JOURNAL OF COORDINATION CHEMISTRY	Copper(I) complexes; Crystal structures; Spectra; DSSC	[Huang, Ting-Hong; Yan, Jie; Yang, Hu; Du, Huai-Ming] Sichuan Univ Sci & Engn, Coll Mat & Chem Engn, Key Labs Fine Chem & Surfactants Sichuan Prov Uni, Mat Corros & Protect Key Lab Sichuan Prov, Zigong, Peoples R China; [Zhang, Min-Hua] Tianjin Univ, R&D Ctr Petrochem Technol, Minist Educ China, Key Lab Green Chem Technol, Tianjin 300072, Peoples R China	Huang, TH (reprint author), Sichuan Univ Sci & Engn, Coll Mat & Chem Engn, Key Labs Fine Chem & Surfactants Sichuan Prov Uni, Mat Corros & Protect Key Lab Sichuan Prov, Zigong, Peoples R China.	Sichuan University of Science and Engineering [2014RC29]; Sichuan Education Department [15ZA0223]	9	0095-8972	2015	WOS:000354113900005
Zhang, Kaibiao; Zhang, Hong; Li, Chikang	PHYSICAL CHEMISTRY CHEMICAL PHYSICS		[Zhang, Kaibiao; Zhang, Hong] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China; [Zhang, Kaibiao] Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Peoples R China; [Zhang, Hong] Sichuan Univ, Coll Phys Sci & Technol, Chengdu 610065, Peoples R China; [Zhang, Hong] Sichuan Univ, Key Lab High Energy Dens Phys & Technol, Minist Educ, Chengdu 610065, Peoples R China; [Li, Chikang] MIT, Plasma Sci & Fus Ctr, Cambridge, MA 02139 USA	Zhang, H (reprint author), Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China.	National Natural Science Foundation of China (NSFC) [11474207]; Scientific Research Fund of Sichuan University of Science and Engineering [2014PY07]	1	1463-9076	2015	WOS:000353767500014
Wu, Shu-Lin; Zhou, Tao	SIAM JOURNAL ON SCIENTIFIC COMPUTING	parareal algorithm; SPD problems; time-dependent PDEs; trapezoidal rule; third-order DIRK method; fourth-order Gauss Runge-Kutta method	[Wu, Shu-Lin] Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Sichuan, Peoples R China; [Zhou, Tao] Chinese Acad Sci, Inst Computat Math & Sci Engn Comp, AMSS, Beijing, Peoples R China	Wu, SL (reprint author), Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Sichuan, Peoples R China.	NSF of China [11301362, 11371157, 91130003]; NSF of Technology & Education of Sichuan Province [2013QZY01, 2014JQ0035]	2	1064-8275	2015	WOS:000353838400017
Wang, Zhiyong; Wu, Shulin	MATHEMATICAL PROBLEMS IN ENGINEERING		[Wang, Zhiyong] Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 610731, Sichuan, Peoples R China; [Wu, Shulin] Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Sichuan, Peoples R China	Wang, ZY (reprint author), Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 610731, Sichuan, Peoples R China.	Science & Technology Bureau of Sichuan Province [2014JQ0035]; Non-Destructive Inspection of Sichuan Institutes of Higher Education [2013QZY01]; OATF-UESTC; NSF of China [11301058, 11301362, 11371157, 91130003]	0	1024-123X	2015	WOS:000352382000001
Zeng, Jun; Zhong, Junbo; Li, Jianzhang; Huang, Shengtiang; Li, Minjiao; Hu, Wei	SYNTHESIS AND REACTIVITY IN INORGANIC METAL-ORGANIC AND NANO-METAL CHEMISTRY	titanium dioxide; gaseous benzene; photocatalytic oxidation; mechanism	[Zeng, Jun; Zhong, Junbo; Li, Jianzhang; Huang, Shengtiang; Li, Minjiao; Hu, Wei] Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Key Lab Green Catalysis, Higher Educ Inst Sichuan, Zigong 643000, Peoples R China	Zhong, JB (reprint author), Sichuan Univ Sci & Engn, Coll Chem & Pharmaceut Engn, Key Lab Green Catalysis, Higher Educ Inst Sichuan, Zigong 643000, Peoples R China.	Science and Technology Department of Sichuan province [2013JY0080]; Education Department of Sichuan province [12ZA089]; Sichuan University of Science and Engineering [2012PY05]; Construct Program of the Discipline in Sichuan University of Science and Engineering; Key Laboratory of Green Catalysis of Sichuan Institutes of High Education [LZJ1202, LYJ1203]	0	1553-3174	2015	WOS:000352026700005
Lai, Xiaoyong; Shen, Guoxin; Xue, Ping; Yan, Bingqin; Wang, Hong; Li, Peng; Xia, Weitao; Fang, Junzhuo	NANOSCALE		[Lai, Xiaoyong; Shen, Guoxin; Xue, Ping; Yan, Bingqin; Li, Peng; Xia, Weitao; Fang, Junzhuo] Ningxia Univ, Key Lab Energy Resource & Chem Engn, State Key Lab Cultivat Base Nat Gas Convers, Yinchuan 750021, Peoples R China; [Lai, Xiaoyong; Shen, Guoxin; Xue, Ping; Yan, Bingqin] Ningxia Univ, Sch Chem & Chem Engn, Yinchuan 750021, Peoples R China; [Wang, Hong] Sichuan Univ Sci & Engn, Key Lab Mat Corros & Protect Sichuan Prov, Dept Mat & Chem Engn, Zigong 643000, Peoples R China	Lai, XY (reprint author), Ningxia Univ, Key Lab Energy Resource & Chem Engn, State Key Lab Cultivat Base Nat Gas Convers, Yinchuan 750021, Peoples R China.	National Natural Science Foundation of China [51362024, 21006116, 51272165]; Natural Science Foundation of Ningxia of China [NZ12111]; Prophase Research Special Project of 973 [2012CB723106]; Chinese Ministry of Science Technology	26	2040-3364	2015	WOS:000350143700023
Wang, Hongyan; Zhang, Kaibiao	JOURNAL OF THE KOREAN PHYSICAL SOCIETY	Dusty plasma; Shock waves; Negative ions; Adiabatic dust charge variation	[Wang, Hongyan; Zhang, Kaibiao] Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Peoples R China	Wang, HY (reprint author), Sichuan Univ Sci & Engn, Sch Sci, Zigong 643000, Peoples R China.	Sichuan University of Science and Engineering [2014PY07]	1	0374-4884	2015	WOS:000349661100011
Li Mong-Tian; Fu Qing-Shan; Zeng Xian-Guang; Yang Rui-Song; Wang Cheng-Gang	CHINESE JOURNAL OF STRUCTURAL CHEMISTRY	organosulfonate complex; coordination polymer; crystal structure; thermostability	[Li Mong-Tian; Fu Qing-Shan; Zeng Xian-Guang; Yang Rui-Song] Sichuan Univ Sci & Engn, Coll Mat & Chem Engn, Zigong 643000, Peoples R China; [Li Mong-Tian; Fu Qing-Shan; Zeng Xian-Guang; Yang Rui-Song] Mat Corros & Protect Key Lab Sichuan Prov, Zigong 643000, Peoples R China; [Wang Cheng-Gang] Cent China Normal Univ, Coll Chem, Wuhan 430079, Peoples R China	Li, MT (reprint author), Sichuan Univ Sci & Engn, Coll Mat & Chem Engn, Zigong 643000, Peoples R China.	National Natural Science Foundation of China [51303115]; Foundation of Material Corrosion and Protection Key Laboratory of Sichuan Province [2013CL08]; Natural Science Foundation of Sichuan University of Science and Engineering [2013RC03]	0	0254-5861	2015	WOS:000348631700020
