AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Rami, El-Nabulsi Ahmad	APPLIED MATHEMATICS LETTERS	Periodic action functional; Lagrangian and Hamiltonian formalisms; Time-dependent harmonic oscillators	[Rami, El-Nabulsi Ahmad] Jeju Natl Univ, Dept Nucl & Energy Engn, Cheju 690756, South Korea; [Rami, El-Nabulsi Ahmad] Neijiang Normal Univ, Coll Math & Informat Sci, Neijiang 641112, Sichuan, Peoples R China	Rami, ENA (reprint author), Jeju Natl Univ, Dept Nucl & Energy Engn, Ara Dong 1, Cheju 690756, South Korea.		2	0893-9659	2011	WOS:000291912300005
Li Jian-Feng; Liao Li-Min; Wang Bi	CHINESE JOURNAL OF STRUCTURAL CHEMISTRY	esters; tetrahymena pyriformis; half-inhibitory growth concentration (IGC(50)); structural characterization; quantitative structure toxicity relationship (QSTR)	[Li Jian-Feng; Liao Li-Min; Wang Bi] Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang 641112, Sichuan, Peoples R China	Wang, B (reprint author), Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang 641112, Sichuan, Peoples R China.	Youth Foundation of Education Bureau, Sichuan Province [09ZB036]; Technology Bureau, Sichuan Province [2006j13-141]	1	0254-5861	2011	WOS:000295958500002
Liao, Limin; Li, Jianfeng; Wang, Bi	CHROMATOGRAPHIA	Molecular electronegativity interaction vector (MEIV); Descriptor; Quantitative structure-retention relationship; Nitrogen-containing polycyclic aromatic compounds (N-PACs); Molecular structural characterization (MSC)	[Liao, Limin; Li, Jianfeng; Wang, Bi] Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang 641112, Sichuan, Peoples R China; [Liao, Limin; Li, Jianfeng] Chongqing Univ, Coll Chem & Chem Engn, Chongqing 400044, Peoples R China	Wang, B (reprint author), Neijiang Normal Univ, Coll Chem & Chem Engn, Neijiang 641112, Sichuan, Peoples R China.	Youth Foundation of Education Bureau, Sichuan Province [09ZB036]; Technology Bureau, Sichuan Province [2006j13-141]	1	0009-5893	2011	WOS:000294066000014
El-Nabulsi, Ahmad Rami	RESEARCH IN ASTRONOMY AND ASTROPHYSICS	Brans-Dicke cosmology; dark energy	[El-Nabulsi, Ahmad Rami] Cheju Natl Univ, Dept Nucl Engn, Cheju 690756, South Korea; [El-Nabulsi, Ahmad Rami] Neijiang Normal Univ, Coll Math & Informat Sci, Neijiang 641112, Peoples R China	El-Nabulsi, AR (reprint author), Cheju Natl Univ, Dept Nucl Engn, Ara Dong 1, Cheju 690756, South Korea.		4	1674-4527	2011	WOS:000294232800002
Rami, El-Nabulsi Ahmad	APPLIED MATHEMATICS AND COMPUTATION	Fractional action-like variational approach; Extended exponentially fractional integral; Lagrangian and Hamiltonian formalism	Neijiang Normal Univ, Coll Math & Informat Sci, Neijiang 641112, Sichuan, Peoples R China	Rami, EA (reprint author), Neijiang Normal Univ, Coll Math & Informat Sci, Neijiang 641112, Sichuan, Peoples R China.		0	0096-3003	2011	WOS:000290902600062
Tang, Ming-Chun; Xiao, Shaoqiu; Li, Chang-Jin; Wei, Chaolei; Wang, Bingzhong	APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL	DGS; edge-coupled SRR; scan blindness elimination	[Tang, Ming-Chun; Xiao, Shaoqiu; Wei, Chaolei; Wang, Bingzhong] Univ Elect Sci & Technol China, Inst Appl Phys, Chengdu 610054, Peoples R China; [Li, Chang-Jin] Neijiang Normal Univ, Engn & Technol Coll, Neijiang 641112, Peoples R China	Tang, MC (reprint author), Univ Elect Sci & Technol China, Inst Appl Phys, Chengdu 610054, Peoples R China.	National Nature Science Foundation of China [60872034, 60971029]; Natural Science Foundation of Educational Department of Sichuan Province, China [09ZA053]; Education Department of China [NCET070154]; Aviation Science foundation [20090180007]	1	1054-4887	2011	WOS:000297567000004
El-Nabulsi, Ahmad Rami	RESEARCH IN ASTRONOMY AND ASTROPHYSICS	dark energy; gravitation; equation of state	[El-Nabulsi, Ahmad Rami] Jeju Natl Univ, Dept Nucl & Energy Engn, Cheju 690756, South Korea; [El-Nabulsi, Ahmad Rami] Neijiang Normal Univ, Coll Math & Informat Sci, Neijiang 641112, Peoples R China	El-Nabulsi, AR (reprint author), Jeju Natl Univ, Dept Nucl & Energy Engn, Ara Dong 1, Cheju 690756, South Korea.		8	1674-4527	2011	WOS:000293037500002
Yang Ze-Jin; Gao Qing-He; Li Jin; Linghu Rong-Feng; Guo Yun-Dong; Cheng Xin-Lu; Zhu Zheng-He; Yang Xiang-Dong	CHINESE PHYSICS B	AlSO; analytic potential energy function; many-body expansion theory	[Yang Ze-Jin] Zhejiang Univ Technol, Sch Sci, Hangzhou 310023, Zhejiang, Peoples R China; [Gao Qing-He] Liaoning Univ Tradit Chinese Med, Sch Informat Technol, Shenyang 110032, Peoples R China; [Li Jin] Hainan Univ, Coll Mat & Chem Engn, Hainan Prov Key Lab Res Utilizat Si Zr Ti Resourc, Haikou 570228, Peoples R China; [Linghu Rong-Feng] Guizhou Normal Univ, Sch Phys & Elect Sci, Guiyang 550001, Peoples R China; [Guo Yun-Dong] Neijiang Normal Univ, Sch Phys & Elect Informat Engn, Neijiang 641112, Peoples R China; [Cheng Xin-Lu; Zhu Zheng-He; Yang Xiang-Dong] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China	Yang, ZJ (reprint author), Zhejiang Univ Technol, Sch Sci, Hangzhou 310023, Zhejiang, Peoples R China.	National Natural Science Foundation of China [10974139, 10964002]; Natural Science Foundation of Hainan Province, China [110001]; Guizhou Province, China [[2009]2066]; Scientific Research Foundation by Zhejiang University of Technology, China [109003729]; Science-Technology Foundation of Sichuan Province, China [09ZQ026-049]; Fund of Aiding Elites' Research Condition of Guizhou Province, China [TZJF-2008-42]	3	1674-1056	2011	WOS:000290665200034
Chen Xiang; Chen Yungui; Tang Yongbai	JOURNAL OF RARE EARTHS	LaFex*11.6Si1.4 compounds; short-time and high-temperature annealing; hysteresis; magnetocaloric effect; rare earths	[Chen Xiang; Chen Yungui; Tang Yongbai] Sichuan Univ, Sch Mat Sci & Engn, Chengdu 610065, Peoples R China; [Chen Xiang] Neijiang Normal Univ, Engn & Technol Coll, Neijiang 641002, Peoples R China	Chen, YG (reprint author), Sichuan Univ, Sch Mat Sci & Engn, Chengdu 610065, Peoples R China.	National Natural Science Foundation of China [50731007]; National High Technology Research and Development Program of China [2007AA03Z440]	7	1002-0721	2011	WOS:000290738200013
Liu, Xiaohong; Xie, Biwen; Zhang, Yaoguang; Wang, Deshou; Wang, Zhijian	FISH PHYSIOLOGY AND BIOCHEMISTRY	Pro-opiomelanocortin (POMC); cDNA cloning; Pituitary location; Extra-pituitary expression; Rare minnow (Gobiocypris rarus)	[Liu, Xiaohong; Xie, Biwen; Zhang, Yaoguang; Wang, Deshou; Wang, Zhijian] Southwest Univ, Key Lab Aquat Sci Chongqing, Minist Educ, Key Lab Aquat Organism Reprod & Dev, Chongqing 400715, Peoples R China; [Xie, Biwen] Neijiang Normal Univ, Dept Life Sci, Neijiang 641112, Peoples R China	Wang, ZJ (reprint author), Southwest Univ, Key Lab Aquat Sci Chongqing, Minist Educ, Key Lab Aquat Organism Reprod & Dev, Chongqing 400715, Peoples R China.	Research Fund for the Doctoral Program of Higher Education [20070635001]	4	0920-1742	2011	WOS:000288254000023
