AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Dong, Hui-Ning; Liu, Xu-Sheng	MOLECULAR PHYSICS	electron paramagnetic resonance (EPR); Nd3+; defect structures; CdS	[Dong, Hui-Ning; Liu, Xu-Sheng] Chongqing Univ Posts & Telecommun, Coll Sci, Chongqing, Peoples R China; [Dong, Hui-Ning] Chengdu Normal Univ, Dept Phys & Elect Technol, Chengdu, Peoples R China	Dong, HN (reprint author), Chongqing Univ Posts & Telecommun, Coll Sci, Chongqing, Peoples R China.	Science Foundations of Chongqing [cstc2012jjB0110]	16	0026-8976	2015	WOS:000349441400008
Xia, Xiao-Peng; Liu, En-Hai; Qin, Jun-Ju	SIGNAL PROCESSING-IMAGE COMMUNICATION	Partial distortion; Motion estimation; Multi-traps; Complexity calculation	[Xia, Xiao-Peng; Liu, En-Hai] Chinese Acad Sci, Inst Opt & Elect, Chengdu 610209, Sichuan, Peoples R China; [Qin, Jun-Ju] Chengdu Normal Univ, Chengdu 610072, Peoples R China	Xia, XP (reprint author), Chinese Acad Sci, Inst Opt & Elect, Mailbox 350, Chengdu 610209, Sichuan, Peoples R China.	National Key Basic Research Program of China [2014CB744200]	0	0923-5965	2015	WOS:000350078800003
Tan, Qi-Jian	BOUNDARY VALUE PROBLEMS	free boundary; diffraction problem; reaction-diffusion system; existence; fixed point theorem; approximation method	Chengdu Normal Univ, Dept Math, Chengdu 611130, Peoples R China	Tan, QJ (reprint author), Chengdu Normal Univ, Dept Math, Chengdu 611130, Peoples R China.	Department of Education of Sichuan Province; Chengdu Normal University [CS14ZD01]	0	1687-2770	2015	WOS:000351213900001
Wu, Jieyun; Bo, Shuhui; Wang, Wen; Deng, Guowei; Zhen, Zhen; Liu, Xinhou; Chiang, Kin-Seng	RSC ADVANCES		[Wu, Jieyun; Wang, Wen; Chiang, Kin-Seng] Univ Elect Sci & Technol China, Sch Commun & Informat Engn, Chengdu 610054, Peoples R China; [Bo, Shuhui; Zhen, Zhen; Liu, Xinhou] Chinese Acad Sci, Tech Inst Phys & Chem, Beijing, Peoples R China; [Deng, Guowei] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu, Peoples R China; [Chiang, Kin-Seng] City Univ Hong Kong, Dept Elect Engn, Hong Kong, Hong Kong, Peoples R China	Wu, JY (reprint author), Univ Elect Sci & Technol China, Sch Commun & Informat Engn, Chengdu 610054, Peoples R China.	National Natural Science Foundation of China [61505020, 11104284, 61101054]	1	2046-2069	2015	WOS:000365952200099
Wang, Xiongrui; Rao, Ruofeng; Zhong, Shouming	MATHEMATICAL PROBLEMS IN ENGINEERING		[Wang, Xiongrui] Yibin Univ, Dept Math, Yibin 644007, Peoples R China; [Wang, Xiongrui; Rao, Ruofeng] Chengdu Normal Univ, Dept Math, Chengdu 611130, Peoples R China; [Zhong, Shouming] Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 610054, Peoples R China	Rao, RF (reprint author), Chengdu Normal Univ, Dept Math, Chengdu 611130, Peoples R China.	Scientific Research Fund of Science Technology Department of Sichuan Province [2012JY010]; Sichuan Educational Committee Science Foundation [08ZB002, 12ZB349, 14ZA0274]	0	1024-123X	2015	WOS:000365524400001
Gou, Shaohua; Luo, Shan; Liu, Tongyi; Xia, Hong; Jing, Dong; Zhang, Qin; Li, Shiwei; Li, Zhonghui; Guo, Qipeng	RSC ADVANCES		[Gou, Shaohua; Luo, Shan; Liu, Tongyi; Xia, Hong] Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Expoitat, Chengdu, Peoples R China; [Jing, Dong; Zhang, Qin; Li, Shiwei] Southwest Petr Univ, Oil & Gas Field Appl Chem Key Lab Sichuan Prov, Chengdu, Peoples R China; [Li, Zhonghui] Chengdu Normal Univ, Inst Funct Mol, Chengdu, Peoples R China; [Guo, Qipeng] Deakin Univ, Inst Frontier Mat, Geelong, Vic 3217, Australia	Gou, SH (reprint author), Southwest Petr Univ, State Key Lab Oil & Gas Reservoir Geol & Expoitat, Chengdu, Peoples R China.	Sichuan Provincial Education Department [15ZA0051]; Foundation of Youth Science and Technology Innovation Team of Sichuan Province [2015TD0007]; Southwest Petroleum University [2014PYZ008, 2014XJZ002]	1	2046-2069	2015	WOS:000363179900001
Gao, Ge; Hu, Jun	DISCRETE DYNAMICS IN NATURE AND SOCIETY		[Gao, Ge; Hu, Jun] Beijing Jiaotong Univ, Inst Syst Sci, Sch Traff & Transportat, Beijing 100044, Peoples R China; [Hu, Jun] Chengdu Normal Univ, Fac Comp Sci, Chengdu 611130, Peoples R China	Hu, J (reprint author), Beijing Jiaotong Univ, Inst Syst Sci, Sch Traff & Transportat, Beijing 100044, Peoples R China.	National Natural Science Foundation of China [61304187]; China Postdoctoral Science Foundation [2014M560040]; National Basic Research Program of China [T14JB00140]; Scientific Research Fund of Sichuan Provincial Education Department of China [15TD0038]; Scientific Research Fund of Sichuan Provincial Science and Technology Department of China [2014JY0111, 2015GZ0333]; Chengdu Normal University of China [CS14CX01, CS14ZB01]	0	1026-0226	2015	WOS:000360463700001
Rao, Ruofeng; Wang, Xiongrui; Zhong, Shouming	MATHEMATICAL PROBLEMS IN ENGINEERING		[Rao, Ruofeng; Wang, Xiongrui] Chengdu Normal Univ, Dept Math, Chengdu 611130, Sichuan, Peoples R China; [Rao, Ruofeng] Yibin Univ, Inst Math, Yibin 644007, Sichuan, Peoples R China; [Zhong, Shouming] Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 610054, Peoples R China	Rao, RF (reprint author), Chengdu Normal Univ, Dept Math, Chengdu 611130, Sichuan, Peoples R China.	Scientific Research Fund of Science Technology Department of Sichuan Province [2012JYZ010]; Scientific Research Fund of Sichuan Provincial Education Department [14ZA0274, 12ZB349]	1	1024-123X	2015	WOS:000359559400001
Rao, Ruofeng; Zhong, Shouming	ADVANCES IN MATHEMATICAL PHYSICS		[Rao, Ruofeng] Chengdu Normal Univ, Dept Math, Chengdu 611130, Sichuan, Peoples R China; [Rao, Ruofeng] Yibin Univ, Inst Math, Yibin 644007, Sichuan, Peoples R China; [Zhong, Shouming] Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 611731, Sichuan, Peoples R China	Rao, RF (reprint author), Chengdu Normal Univ, Dept Math, Chengdu 611130, Sichuan, Peoples R China.	National Basic Research Program of China [2010CB732501]; Scientific Research Fund of Science Technology Department of Sichuan Province [2012JY010]; Sichuan Educational Committee Science Foundation [08ZB002, 12ZB349, 14ZA0274]	1	1687-9120	2015	WOS:000357466400001
Luo, Yong; Zhu, Yongxia; Ran, Kai; Liu, Zhihao; Wang, Ningyu; Feng, Qiang; Zeng, Jun; Zhang, Lidan; He, Bing; Ye, Tinghong; Zhu, Shirui; Qiu, Xiaolong; Yu, Luoting	MEDCHEMCOMM		[Luo, Yong; Zhu, Yongxia; Ran, Kai; Liu, Zhihao; Wang, Ningyu; Feng, Qiang; Zeng, Jun; He, Bing; Ye, Tinghong; Yu, Luoting] Sichuan Univ, State Key Lab Biotherapy, West China Med Sch, West China Hosp,Collaborat Innovat Ctr Biotheraph, Chengdu 610041, Peoples R China; [Luo, Yong; Zhu, Yongxia; Ran, Kai; Liu, Zhihao; Wang, Ningyu; Feng, Qiang; Zeng, Jun; He, Bing; Ye, Tinghong; Yu, Luoting] Sichuan Univ, West China Med Sch, West China Hosp, Ctr Canc, Chengdu 610041, Peoples R China; [Zhang, Lidan] Sichuan Univ, Sch Chem Engn, Dept Pharmaceut & Bioengn, Chengdu 610065, Sichuan, Peoples R China; [Feng, Qiang; He, Bing] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu 611130, Peoples R China; [Zhu, Shirui] Henan Univ Tradit Chinese Med, Affiliated Hosp 1, Dept Encephalopathy, Zhengzhou 450004, Peoples R China; [Qiu, Xiaolong] Wisdom Pharmaceut Co Ltd, Haimen 226123, Peoples R China	Yu, LT (reprint author), Sichuan Univ, State Key Lab Biotherapy, West China Med Sch, West China Hosp,Collaborat Innovat Ctr Biotheraph, Chengdu 610041, Peoples R China.		3	2040-2503	2015	WOS:000355985500006
Gu, Musong; You, Lei; Hu, Jun; Duan, Lintao; Zuo, Zhen	MATHEMATICAL PROBLEMS IN ENGINEERING		[Gu, Musong; You, Lei; Duan, Lintao] Chengdu Univ, Coll Informat Sci & Technol, Chengdu 610106, Peoples R China; [Gu, Musong] Inst Higher Educ Sichuan Prov, Key Lab Pattern Recognit & Intelligent Informat P, Chengdu 610106, Peoples R China; [Hu, Jun] Chengdu Normal Univ, Fac Comp Sci, Chengdu 611130, Peoples R China; [Hu, Jun] Beijing Jiaotong Univ, Sch Traff & Transportat, Beijing 100044, Peoples R China; [Zuo, Zhen] Unocal East China Sea Co Ltd, Chengdu 610012, Peoples R China	Hu, J (reprint author), Chengdu Normal Univ, Fac Comp Sci, Chengdu 611130, Peoples R China.	National Natural Science Foundation of China [61304187]; China Postdoctoral Science Foundation [2014M560040]; Scientific Research Fund of SiChuan Provincial Science and Technology Department of China [2015JY0213]; Scientific Research Fund of SiChuan Provincial Education Department of China [15TD0038]; Foundation of Chengdu University [2014XJZ21]	0	1024-123X	2015	WOS:000355421200001
Zhang, Lidan; Song, Xuejiao; Wang, Ningyu; Zhao, Lifeng; Feng, Qiang; You, Xinyu; Peng, Cuiting; Gao, Tiantao; Xiong, Menghua; He, Bing; Gao, Chao; Luo, Yong; Xu, Ying; Zhang, Qiyi; Yu, Luoting	RSC ADVANCES		[Zhang, Lidan; You, Xinyu; Peng, Cuiting; Zhang, Qiyi] Sichuan Univ, Coll Chem Engn, Chengdu 610065, Sichuan, Peoples R China; [Zhang, Lidan; Song, Xuejiao; Wang, Ningyu; Zhao, Lifeng; Feng, Qiang; You, Xinyu; Peng, Cuiting; Gao, Tiantao; Xiong, Menghua; He, Bing; Gao, Chao; Luo, Yong; Xu, Ying; Yu, Luoting] Sichuan Univ, Collaborat Innovat Ctr Biotherapy, West China Med Sch, State Key Lab Biotherapy,West China Hosp, Chengdu 610041, Peoples R China; [Zhang, Lidan; Song, Xuejiao; Wang, Ningyu; Zhao, Lifeng; Feng, Qiang; You, Xinyu; Peng, Cuiting; Gao, Tiantao; Xiong, Menghua; He, Bing; Gao, Chao; Luo, Yong; Xu, Ying; Yu, Luoting] Sichuan Univ, West China Hosp, West China Med Sch, Ctr Canc, Chengdu 610041, Peoples R China; [Feng, Qiang; He, Bing] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu 611130, Peoples R China	Yu, LT (reprint author), Sichuan Univ, Collaborat Innovat Ctr Biotherapy, West China Med Sch, State Key Lab Biotherapy,West China Hosp, Chengdu 610041, Peoples R China.	Zhejiang Apeloa Medical Technology Co., Ltd	3	2046-2069	2015	WOS:000351494800043
Fu, Xiaohong; Xu, Kun; Ye, Jun; Chen, Jie; Feng, Xueyu	ANALYTICAL METHODS		[Fu, Xiaohong; Xu, Kun; Ye, Jun; Chen, Jie; Feng, Xueyu] Chengdu Normal Univ, Dept Chem & Biosci, Chengdu 611130, Peoples R China	Fu, XH (reprint author), Chengdu Normal Univ, Dept Chem & Biosci, Chengdu 611130, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [14ZA0303]; Natural Science Foundation of Sichuan Province [2014JY0117, 2013sz0054]; Key Project of Chengdu Normal University [CS13ZA02]	3	1759-9660	2015	WOS:000347312700016
Wang, Qihui; Yu, Qiaoling; Lin, Qingyu; Duan, Yixiang	CLINICA CHIMICA ACTA	Saliva; Biomarker; Non-invasive; Mass spectrometry; Disease diagnosis	[Wang, Qihui; Yu, Qiaoling; Lin, Qingyu; Duan, Yixiang] Sichuan Univ, Res Ctr Analyt Instrumentat, Coll Life Sci, Chengdu 610064, Peoples R China; [Wang, Qihui] Chengdu Normal Univ, Coll Chem & Life Sci, Chengdu 610041, Peoples R China; [Yu, Qiaoling] Liuzhou Vocat & Tech Coll, Dept Environm & Food Engn, Liuzhou 545006, Peoples R China	Duan, YX (reprint author), Sichuan Univ, Res Ctr Analyt Instrumentat, 29 Wangjiang Rd, Chengdu 610064, Peoples R China.	National Recruitment Program of Global Experts (NRPGE); Hundred Talents Program of Sichuan Province (HTPSP); Startup Funding of Sichuan University	13	0009-8981	2015	WOS:000346616800038
Chen, Haitao; Gao, Zenghui; Huang, Weigang	JOURNAL OF MODERN OPTICS	astigmatic lens; C-points; V-points; C-dipole; V-dipole	[Chen, Haitao; Huang, Weigang] Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610064, Peoples R China; [Chen, Haitao] Chengdu Normal Univ, Coll Phys & Engn, Key Lab, Chengdu, Peoples R China; [Chen, Haitao; Gao, Zenghui] Yibin Univ, Key Lab Computat Phys, Yibin, Peoples R China	Chen, HT (reprint author), Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610064, Peoples R China.	National Natural Science Foundation of China [61275203]; Sichuan Provincial Education Department [13ZA0203]; Natural Science Foundation of Sichuan Province [2013JY0100]	0	0950-0340	2014	WOS:000342849500001
Wang, Xiongrui; Rao, Ruofeng	JOURNAL OF INEQUALITIES AND APPLICATIONS	probabilistic time-varying delays; Markovian jumping; Takagi-Sugeno fuzzy mathematical model	[Wang, Xiongrui; Rao, Ruofeng] Yibin Univ, Inst Math, Yibin 644007, Sichuan, Peoples R China; [Rao, Ruofeng] Chengdu Normal Univ, Dept Math, Chengdu 611130, Sichuan, Peoples R China	Rao, RF (reprint author), Yibin Univ, Inst Math, Yibin 644007, Sichuan, Peoples R China.	Scientific Research Fund of Science Technology Department of Sichuan Province [2011JYZ010, 2012JYZ010]; Scientific Research Fund of Sichuan Provincial Education Department [11ZA172, 14ZA0274, 12ZB349]	0	1029-242X	2014	WOS:000347524900007
Ma, Cui-Cui; He, Zhi-Yao; Xia, Shan; Ren, Ke; Hui, Li-Wei; Qin, Han-Xiao; Tang, Ming-Hai; Zeng, Jun; Song, Xiang-Rong	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	cholesterol; polyethylene glycol; cationic liposomes; gene delivery; folate ligand	[Ma, Cui-Cui; He, Zhi-Yao; Xia, Shan; Hui, Li-Wei; Qin, Han-Xiao; Tang, Ming-Hai; Zeng, Jun; Song, Xiang-Rong] Sichuan Univ, West China Hosp, Dept Anesthesiol, State Key Lab Biotherapy, Chengdu 610041, Sichuan, Peoples R China; [Xia, Shan] Chengdu Normal Univ, Sci Educ Dept, Cent Lab, Chengdu 610041, Sichuan, Peoples R China; [Ren, Ke] Univ Nebraska Med Ctr, Dept Pharmaceut Sci, Omaha, NE 68198 USA	Zeng, J (reprint author), Sichuan Univ, West China Hosp, Dept Anesthesiol, State Key Lab Biotherapy, Chengdu 610041, Sichuan, Peoples R China.	National Basic Research Program of China [2010CB529900]; National Natural Science Foundation of China [81123003]; Fundamental Research Funds for the Central Universities [2013SCU04A19]	4	1422-0067	2014	WOS:000345529200058
Hu Jun; Sun Huijun; Wei Juan; Chen Xiaodan; You Lei; Gu Musong	PHYSICS LETTERS A	Pedestrian flow; Evacuation; Three-dimensional cellular automata; Stairs; Paired; Variety velocities	[Hu Jun; Sun Huijun] Beijing Jiaotong Univ, MOE Key Lab Urban Transportat Complex Syst Theory, Beijing 100044, Peoples R China; [Hu Jun; Sun Huijun] Beijing Jiaotong Univ, Sch Traff & Transportat, Beijing 100044, Peoples R China; [Hu Jun; Wei Juan; You Lei; Gu Musong] Chengdu Normal Univ, Fac Comp Sci, Chengdu 611130, Peoples R China; [Chen Xiaodan; You Lei] Chengdu Univ, Coll Informat Sci & Technol, Chengdu 610106, Peoples R China	Sun, HJ (reprint author), Beijing Jiaotong Univ, MOE Key Lab Urban Transportat Complex Syst Theory, Beijing 100044, Peoples R China.	Funds for International Cooperation and Exchange of the National Natural Science Foundation of China [71210001]; China Postdoctoral Science Foundation [2014M560040]; Scientific Research Fund of the Department of Science and Technology of Sichuan Province [2014JY0111]; Funds of Chengdu Normal University of China [CS14ZB05, CS13ZD01]	1	0375-9601	2014	WOS:000345492700002
Hu, Jun; You, Lei; Wei, Juan; Guo, Yangyong; Liang, Ying	TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH	Evacuation; Pedestrian; Three-dimensional space; Cellular automata; Vacancy degree; Collision probability	[Hu, Jun] Beijing Jiaotong Univ, Sch Traff & Transportat, Beijing 100044, Peoples R China; [Hu, Jun; Wei, Juan; Guo, Yangyong] Chengdu Normal Univ, Fac Comp Sci, Chengdu 611130, Peoples R China; [You, Lei] Univ Elect Sci & Technol China, Sch Elect Engn, Chengdu 611731, Peoples R China; [Liang, Ying] Chengdu Aeronaut Vocat & Tech Coll, Chengdu 610100, Peoples R China	Wei, J (reprint author), Chengdu Normal Univ, Fac Comp Sci, Chengdu 611130, Peoples R China.	National Natural Science Foundation of China [61304187]; Sichuan Provincial Science and Technology Department of China [2014JY0111, 2013GZ0016]; Chengdu Normal University of China [CS13ZD01, YJRC2012-6]	0	1942-7867	2014	WOS:000346156000006
Kuang, Yin; Zhang, Lei; Yi, Zhang	PATTERN RECOGNITION LETTERS	Image sequence denoising; Rank-sparsity representation; Matrix decomposition; K-SVD; Adaptivity	[Kuang, Yin; Zhang, Lei; Yi, Zhang] Sichuan Univ, Coll Comp Sci, Machine Intelligence Lab, Chengdu 610065, Peoples R China; [Kuang, Yin] Chengdu Normal Univ, Coll Comp Sci, Chengdu 611130, Peoples R China	Zhang, L (reprint author), Sichuan Univ, Coll Comp Sci, Machine Intelligence Lab, Chengdu 610065, Peoples R China.	National Basic Research Program of China (973 Program) [2011CB302201]; Specialized Research Fund for the Doctoral Program of Higher Education of China [20100181120030, 20120181130007]	4	0167-8655	2014	WOS:000337219200007
Kuang, Yin; Zhang, Lei; Yi, Zhang	CIRCUITS SYSTEMS AND SIGNAL PROCESSING	Image denoising; Optimization problem; Weighted BPDN; K-SVD; Sparse K-SVD; Closed affine subspace learning	[Kuang, Yin; Zhang, Lei; Yi, Zhang] Sichuan Univ, Coll Comp Sci, Machine Intelligence Lab, Chengdu 610065, Peoples R China; [Kuang, Yin] Chengdu Normal Univ, Coll Comp Sci, Chengdu 611130, Peoples R China	Zhang, L (reprint author), Sichuan Univ, Coll Comp Sci, Machine Intelligence Lab, Chengdu 610065, Peoples R China.	National Basic Research Program of China (973 Program) [2011CB302201]; National Nature Science Foundation of China [61322203, 61332002]; Specialized Research Fund for the Doctoral Program of Higher Education of China [20120181130007]	1	0278-081X	2014	WOS:000337788100008
