AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Jun, Shi; Yang, Liu; Zhang Xiaoling; Ling, Fan	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	Dual-Delta factorization (DDF); greedy strategy; inverse system; sidelobe suppression; z-transform	[Jun, Shi; Yang, Liu; Zhang Xiaoling] Univ Elect Sci & Technol China, Chengdu 610051, Peoples R China; [Ling, Fan] Leshan Normal Univ, Leshan 614004, Peoples R China	Jun, S (reprint author), Univ Elect Sci & Technol China, Chengdu 610051, Peoples R China.	Natural Science Fund of China [61101170]; High Resolution Earth Observation Major Special Projects-"Youth Innovation Funding" [GFZX04060103-5-25]	0	1545-598X	2015	WOS:000356543100029
Feng, Xin-Lei; Huang, Ting-Zhu	JOURNAL OF COMPUTATIONAL ANALYSIS AND APPLICATIONS	Consensus protocol; Multi-agent system; Graph; Continuous-time system; Time-delay	[Feng, Xin-Lei] Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614000, Sichuan, Peoples R China; [Feng, Xin-Lei; Huang, Ting-Zhu] Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 611731, Sichuan, Peoples R China	Feng, XL (reprint author), Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614000, Sichuan, Peoples R China.	NSFC [60973015]; Scientific Research Fund of Sichuan Provincial Education Department [13ZB0107]; Sichuan Province Sci. & Tech. Research Project [2011JY0002]; Leshan Normal University [Z1255]	0	1521-1398	2015	WOS:000348559000001
Nong, Xiang; Chen, Feng-Zheng; Yang, Yao-Jun; Liang, Zi; Huang, Bao-Lian; Li, Yi; Liu, Tian-Fei; Yu, Hua	JOURNAL OF INSECT SCIENCE	Ageraphorone; Pseudoregma bambucicola; insect biocontrol; bamboo aphid	[Nong, Xiang; Chen, Feng-Zheng; Yang, Yao-Jun; Liang, Zi; Huang, Bao-Lian; Li, Yi] Leshan Normal Univ, Coll Life Sci, Leshan 614000, Peoples R China; [Liu, Tian-Fei] Guangdong Acad Agr Sci, Inst Anim Sci, Guangzhou 510640, Peoples R China; [Yu, Hua] Sichuan Entry Exit Inspect & Quarantine Bur, Chengdu 610041, Peoples R China	Yang, YJ (reprint author), Leshan Normal Univ, Coll Life Sci, Leshan 614000, Peoples R China.	Leshan Normal University [Z1327]; Scientific Research Fund of Sichuan Provincial Education Department [15ZA0272]; Science & Technology Department of Sichuan Province [2014NZ0012, 2015JY0133]	0	1536-2442	2015	WOS:000357720400003
Tian, Chong; Nie, Wanli; Wang, Yinghong; Xiong, Jun Ru; Borzov, Maxim V.	ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES		[Tian, Chong; Nie, Wanli; Wang, Yinghong; Xiong, Jun Ru; Borzov, Maxim V.] Leshan Normal Univ, Coll Chem, Leshan 614000, Sichuan, Peoples R China	Xiong, JR (reprint author), Leshan Normal Univ, Coll Chem, Binhe Rd 778, Leshan 614000, Sichuan, Peoples R China.	Sichuan Provincial Department of Science and Technology [2011JYZ006]; Sichuan Province Education Office [14ZB0246]; Science and Technology Bureau of Leshan City [14GZD009]	0	1433-7266	2015	WOS:000355621500008
Tian, Chong; Nie, Wanli; Yang, Xiaorong; Xiong, Jun Ru; Borzov, Maxim V.	ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES		[Tian, Chong; Nie, Wanli; Yang, Xiaorong; Xiong, Jun Ru; Borzov, Maxim V.] Leshan Normal Univ, Coll Chem, Leshan 614000, Sichuan Provinc, Peoples R China	Xiong, JR (reprint author), Leshan Normal Univ, Coll Chem, Binhe Rd 778, Leshan 614000, Sichuan Provinc, Peoples R China.	Sichuan Provincial Department of Science and Technology [2011JYZ006]; Sichuan Province Education Office [14ZB0246]; Science and Technology Bureau of Leshan City [14GZD009]	0	1433-7266	2015	WOS:000355621500009
Feng, Zhiming; Tu, Zhenhan	COMPLEX ANALYSIS AND OPERATOR THEORY	Super-Bergman kernels; Super-Szego kernels; Super-balls; Invariant inner products	[Feng, Zhiming] Leshan Normal Univ, Sch Math & Informat Sci, Leshan 614000, Sichuan, Peoples R China; [Tu, Zhenhan] Wuhan Univ, Sch Math & Stat, Wuhan 430072, Hubei, Peoples R China	Tu, ZH (reprint author), Wuhan Univ, Sch Math & Stat, Wuhan 430072, Hubei, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [11ZA156]; National Natural Science Foundation of China [11271291]	1	1661-8254	2015	WOS:000354447700006
Qu, Xiao-bing; Sun, Feng; Wang, Tian-fei	APPLIED SOFT COMPUTING	System of fuzzy relation equations; Solution set; Matrix elementary transformations; Complete Brouwerian lattice	[Qu, Xiao-bing; Sun, Feng; Wang, Tian-fei] Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614004, Sichuan, Peoples R China	Qu, XB (reprint author), Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614004, Sichuan, Peoples R China.	National Natural Science Foundation of China [11171242]; Basic Research Programs of Sichuan Province of China [2011JY0133]; Scientific Research Fund of Sichuan Provincial Education Department in China [13ZB0110, 13ZB0108]	0	1568-4946	2015	WOS:000352955600003
Alstrom, Per; Xia, Canwei; Rasmussen, Pamela C.; Olsson, Urban; Dai, Bo; Zhao, Jian; Leader, Paul J.; Carey, Geoff J.; Dong, Lu; Cai, Tianlong; Holt, Paul I.; Hung Le Manh; Song, Gang; Liu, Yang; Zhang, Yanyun; Lei, Fumin	AVIAN RESEARCH	Bradypterus; Cryptic species; Locustella seebohmi; Locustella mandelli; Locustella montis; Locustella timorensis; Locustella alishanensis; Locustella idonea; Integrative taxonomy	[Alstrom, Per; Cai, Tianlong; Song, Gang; Lei, Fumin] Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Beijing 100101, Peoples R China; [Alstrom, Per] Swedish Univ Agr Sci, Swedish Species Informat Ctr, SE-75007 Uppsala, Sweden; [Xia, Canwei; Dong, Lu; Zhang, Yanyun] Beijing Normal Univ, Coll Life Sci, Key Lab Biodivers & Ecol Engn, Minist Educ, Beijing 100875, Peoples R China; [Rasmussen, Pamela C.] Michigan State Univ, Dept Integrat Biol, E Lansing, MI 48864 USA; [Rasmussen, Pamela C.] Michigan State Univ, MSU Museum, E Lansing, MI 48864 USA; [Rasmussen, Pamela C.] Nat Hist Museum Tring, Bird Grp, Tring HP23 6AP, Scotland; [Olsson, Urban] Univ Gothenburg, Dept Biol & Environm Sci, Systemat & Biodivers, SE-40530 Gothenburg, Sweden; [Dai, Bo] Leshan Normal Univ, Coll Life Sci, Leshan 614004, Sichuan, Peoples R China; [Zhao, Jian; Liu, Yang] Sun Yat Sen Univ, State Key Lab Biocontrol, Guangzhou 510275, Guangdong, Peoples R China; [Zhao, Jian; Liu, Yang] Sun Yat Sen Univ, Coll Ecol & Evolut, Guangzhou 510275, Guangdong, Peoples R China; [Leader, Paul J.; Carey, Geoff J.] AEC Ltd, Commercial Ctr 121 127, Yuen Long, Hong Kong, Peoples R China; [Hung Le Manh] Vietnam Acad Sci & Technol, Inst Ecol & Biol Resources, Hanoi, Vietnam; [Holt, Paul I.] Pendleton, Bracken Dean, Clitheroe BB7 1PT, Lancs, England; [Cai, Tianlong] Univ Chinese Acad Sci, College Life Sci, Beijing 100049, Peoples R China	Alstrom, P (reprint author), Chinese Acad Sci, Inst Zool, Key Lab Zool Systemat & Evolut, Beijing 100101, Peoples R China.	Laojunshan Nature Reserve Management Bureau; Chinese National Science and Technology Basic Work Program-Comprehensive Scientific Survey of Biodiversity from Luoxiao range Region in China [2013FY111500]; Jornvall Foundation; Sound Approach; Chinese Academy of Sciences Visiting Professorship for Senior International Scientists [2011T2S04]; Swarovski Hong Kong Ltd.	2	2053-7166	2015	WOS:000369903400001
Feng, Zhiming; Tu, Zhenhan	ANNALS OF GLOBAL ANALYSIS AND GEOMETRY	Balanced metrics; Bergman kernels; Bounded symmetric domains; Cartan-Hartogs domains; Kahler metrics	[Feng, Zhiming] Leshan Normal Univ, Sch Math & Informat Sci, Leshan 614000, Sichuan, Peoples R China; [Tu, Zhenhan] Wuhan Univ, Sch Math & Stat, Wuhan 430072, Hubei, Peoples R China	Tu, ZH (reprint author), Wuhan Univ, Sch Math & Stat, Wuhan 430072, Hubei, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [11ZA156]; National Natural Science Foundation of China [11271291]	1	0232-704X	2015	WOS:000352292200001
Pu, Yi-Fei; Zhou, Ji-Liu; Zhang, Yi; Zhang, Ni; Huang, Guo; Siarry, Patrick	IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS	Fractional calculus; fractional differential; fractional energy norm; fractional extreme point; fractional gradient	[Pu, Yi-Fei; Zhou, Ji-Liu; Zhang, Yi] Sichuan Univ, Sch Comp Sci & Technol, Chengdu 610065, Peoples R China; [Zhang, Ni] Sichuan Univ, Lib, Chengdu 610065, Peoples R China; [Huang, Guo] Leshan Normal Univ, Coll Comp Sci & Technol, Leshan 614000, Peoples R China; [Siarry, Patrick] Univ Paris 12, F-94010 Creteil, France	Pu, YF (reprint author), Sichuan Univ, Sch Comp Sci & Technol, Chengdu 610065, Peoples R China.	Foundation Franco-Chinoise Pour La Science Et Ses Applications; National Natural Science Foundation of China [60972131, 61201438]; Returned Overseas Chinese Scholars Project of Education Ministry of China [20111139]; Science and Technology Support Project of Sichuan Province of China [2011GZ0201, 2013SZ0071]; Soft Science Project of Sichuan Province of China [2013ZR0010]; Scientific and Technical Innovation Seedling Project of Sichuan Province of China [2012ZZ023]; Science and Technology Achievements Transformation Project of Chengdu of China [12DXYB255JH-002]	8	2162-237X	2015	WOS:000351835900001
