AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Jiang Xiao-Pan; Zhang Zi-Liang; Qin Xiu-Bo; Yu Run-Sheng; Wang Bao-Yi	CHINESE PHYSICS C	positronium time of flight spectroscopy (Ps-TOF); positron annihilation; plastic scintillator; time broadening; count rate	[Jiang Xiao-Pan; Qin Xiu-Bo; Yu Run-Sheng; Wang Bao-Yi] CAS, Inst High Energy Phys, Key Lab Nucl Anal Tech, Beijing 100049, Peoples R China; [Jiang Xiao-Pan] Chinese Acad Sci, Grad Univ, Beijing 100049, Peoples R China; [Zhang Zi-Liang] Chengdu Univ Technol, Coll Appl Nucl Technol & Automat Engn, Chengdu 610059, Peoples R China	Jiang, XP (reprint author), CAS, Inst High Energy Phys, Key Lab Nucl Anal Tech, Beijing 100049, Peoples R China.	NSFC [10835006, 60606011, 10705031]	0	1674-1137	2010	WOS:000285279100020
Jiang, Qinhui; Shao, Changguo	FRONTIERS OF MATHEMATICS IN CHINA	Finite group; classification; number of elements of maximal order; Thompson's Problem	[Shao, Changguo] Chengdu Univ Technol, Coll Informat Management, Chengdu 610059, Peoples R China; [Jiang, Qinhui] Shanghai Univ, Dept Math, Shanghai 200444, Peoples R China	Shao, CG (reprint author), Chengdu Univ Technol, Coll Informat Management, Chengdu 610059, Peoples R China.		1	1673-3452	2010	WOS:000282593300005
Yu Xudong; Ying Zeng	JOURNAL OF CHEMICAL AND ENGINEERING DATA		[Yu Xudong; Ying Zeng] Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China; [Ying Zeng] Higher Educ Inst Sichuan Prov, Mineral Resources Chem Key Lab, Chengdu 610059, Peoples R China	Ying, Z (reprint author), Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China.	National Natural Science Foundation of China [40673050]; China Geological Survey [1212010011809]; Ministry of Education of China [20070616008]; Scholarship Leaders Training Fund from Sichuan Province [2008-140]; Development & Comprehensive Utilization of Marine Sedimentary Brine Sichuan Provincial Key Laboratory [2009-230]	18	0021-9568	2010	WOS:000285216300058
Kusky, Timothy M.; Ghulam, Abduwasit; Wang Lu; Liu Jianguo; Li Zhongquan; Chen Xiao	JOURNAL OF EARTH SCIENCE	China; Wenchuan earthquake; Longmenshan; neotectonics; PALSAR	[Kusky, Timothy M.; Wang Lu] China Univ Geosci, Gorges Res Ctr Geohazard 3, Minist Educ, Wuhan 430074, Peoples R China; [Kusky, Timothy M.] China Univ Geosci, State Key Lab Geol Proc & Mineral Resources, Wuhan 430074, Peoples R China; [Ghulam, Abduwasit] St Louis Univ, Ctr Environm Sci, St Louis, MO 63103 USA; [Wang Lu] Ocean Univ China, Dept Marine Geol, Qingdao 266100, Peoples R China; [Liu Jianguo] Univ London Imperial Coll Sci Technol & Med, Dept Earth Sci & Engn, London, England; [Li Zhongquan; Chen Xiao] Chengdu Univ Technol, Dept Geosci, Chengdu 610059, Peoples R China	Kusky, TM (reprint author), China Univ Geosci, Gorges Res Ctr Geohazard 3, Minist Educ, Wuhan 430074, Peoples R China.	State Key Laboratory of Geohazard Prevention, Chengdu University of Technology; NASA [08-182]; National Natural Science Foundation of China [40821061]; Ministry of Education of China [B07039]	5	1674-487X	2010	WOS:000284904700013
Ran, Jin-Hua; Wang, Pei-Pei; Zhao, Hui-Juan; Wang, Xiao-Quan	JOURNAL OF INTEGRATIVE PLANT BIOLOGY		[Ran, Jin-Hua; Wang, Pei-Pei; Zhao, Hui-Juan; Wang, Xiao-Quan] Chinese Acad Sci, Inst Bot, State Key Lab Systemat & Evolutionary Bot, Beijing 100093, Peoples R China; [Wang, Pei-Pei] Chengdu Univ Technol, Coll Earth Sci, Chengdu 610059, Sichuan, Peoples R China	Wang, XQ (reprint author), Chinese Acad Sci, Inst Bot, State Key Lab Systemat & Evolutionary Bot, Beijing 100093, Peoples R China.	National Natural Science Foundation of China [30870166, 30730010]; Chinese Academy of Sciences	24	1672-9072	2010	WOS:000284614500007
Xiao Shiguo; Feng Wenkai; Zhang Jianjing	JOURNAL OF MOUNTAIN SCIENCE	Wenchuan Earthquake; Slope; Geometric features; Dynamic response; Natural frequency	[Xiao Shiguo; Zhang Jianjing] SW Jiaotong Univ, Dept Geotech Engn, Chengdu 610031, Peoples R China; [Xiao Shiguo; Feng Wenkai] Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm Pro, Chengdu 610059, Peoples R China	Xiao, SG (reprint author), SW Jiaotong Univ, Dept Geotech Engn, Chengdu 610031, Peoples R China.	National Basic Research Program of China (973 program) [2008CB425802]; State Key Laboratory of Geohazard Prevention and Geoenvironment Protection (Chengdu University of Technology) [SKLGP2010K007]	6	1672-6316	2010	WOS:000284074700005
Liu, H. F.; Wang, S. Q.; Li, C. Z.; Xiang, Q.; Yang, F. Z.; Liu, Y.	PHYSICA SCRIPTA		[Liu, H. F.; Wang, S. Q.; Li, C. Z.; Yang, F. Z.] SW Inst Phys, Chengdu 610041, Peoples R China; [Liu, H. F.; Wang, S. Q.; Xiang, Q.; Liu, Y.] Chengdu Univ Technol, Engn & Tech Coll, Leshan 614000, Peoples R China	Liu, HF (reprint author), SW Inst Phys, Chengdu 610041, Peoples R China.		13	0031-8949	2010	WOS:000284945300020
Tong, D. G.; Luo, Y. Y.; Chu, W.; Guo, Y. C.; Tian, W.	PLASMA CHEMISTRY AND PLASMA PROCESSING	Carbon nanotubes; Cutting; Solution plasma processing	[Tong, D. G.; Guo, Y. C.; Tian, W.] Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China; [Luo, Y. Y.] Chinese Acad Trop Agr, Inst Farm Prod Proc, Zhanjiang 524001, Peoples R China; [Chu, W.] Sichuan Univ, Coll Chem Engn, Chengdu 610065, Peoples R China	Tong, DG (reprint author), Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China.	CDUT [2007-YG2, HZ0033]; Natural Science Foundation of Sichuan Province [07ZA004]	13	0272-4324	2010	WOS:000284122900012
Liu, Zhan; Qian, Yingli; Liu, Dan; Yang, Jinbo; Fan, Yubo	INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING	finite element analysis; cement bases; material properties; occlusive load; stress distributions	[Liu, Zhan; Fan, Yubo] Sichuan Univ, Lab Biomech Engn, Chengdu 610064, Sichuan, Peoples R China; [Liu, Zhan] Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm, Chengdu, Sichuan, Peoples R China; [Qian, Yingli] AVIC Chengdu Aircraft Design & Res Inst, Chengdu, Sichuan, Peoples R China; [Liu, Dan; Yang, Jinbo] Sichuan Univ, Dept Operat Dent & Endodont, W China Coll Stomatol, Chengdu 610064, Sichuan, Peoples R China; [Fan, Yubo] Beihang Univ, Key Lab Biomech & Mechanobiol, Minist Educ, Sch Biol Sci & Med Engn, Beijing, Peoples R China	Fan, YB (reprint author), Beihang Univ, Key Lab Biomech & Mechanobiol, Minist Educ, Sch Biol Sci & Med Engn, Beijing, Peoples R China.	Youth Foundation of Sichuan University [06014]; National Natural Science Foundation of China [10925208, 10672015]	1	2040-7939	2010	WOS:000284174700001
Zhang, Ming; Redfern, Simon A. T.; Salje, Ekhard K. H.; Carpenter, Michael A.; Wang, Ling	AMERICAN MINERALOGIST	Dehydroxylation; phyllosilicates; H2O; infrared spectroscopy	[Zhang, Ming; Redfern, Simon A. T.; Salje, Ekhard K. H.; Carpenter, Michael A.] Univ Cambridge, Dept Earth Sci, Cambridge CB2 3EQ, England; [Wang, Ling] Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Sichuan, Peoples R China	Zhang, M (reprint author), Univ Cambridge, Dept Earth Sci, Downing St, Cambridge CB2 3EQ, England.		11	0003-004X	2010	WOS:000284195100011
