AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Zhang, Zhong; Luo, Aimin; Zhong, Kai; Huang, Yina; Gao, Yuan; Zhang, Jun; Gao, Hong; Xu, Zhengjun; Gao, Xiaoling	JOURNAL OF FUNCTIONAL FOODS	Lonicera japonica; alpha-Glucosidase; Maltase inhibitor; Antidiabetes; Polyphenols	[Zhang, Zhong; Xu, Zhengjun; Gao, Xiaoling] Sichuan Agr Univ, Rice Res Inst, Wenjiang 611130, Peoples R China; [Zhang, Zhong] Xichang Coll, Sch Appl & Chem Engn, Xichang 615013, Peoples R China; [Luo, Aimin; Zhong, Kai; Gao, Yuan; Zhang, Jun; Gao, Hong] Sichuan Univ, Coll Light Ind Text & Food Engn, Chengdu 610065, Peoples R China; [Huang, Yina] Sichuan Univ, Dept Publ Hlth, Hua Xi Med Ctr, Chengdu 610041, Peoples R China	Gao, XL (reprint author), Sichuan Agr Univ, Rice Res Inst, Wenjiang 611130, Peoples R China.	National Natural Science Foundation of China [31071489]; Program for New Century Excellent Talents in University [NCET-10-0591]	17	1756-4646	2013	WOS:000322691600026
Ding, Hongdi; Yu, Lijuan	INTERNATIONAL JOURNAL OF BILINGUAL EDUCATION AND BILINGUALISM	the dilemma; bilingual education policy; the Yi; Liangshan	[Ding, Hongdi] Chongqing Univ, Coll Foreign Languages, Dept Coll English, Chongqing 630044, Peoples R China; [Yu, Lijuan] Xichang Coll, Preparatory Dept Minor Students, Liangshan, Peoples R China	Ding, HD (reprint author), Chongqing Univ, Coll Foreign Languages, Dept Coll English, Chongqing 630044, Peoples R China.		0	1367-0050	2013	WOS:000320498800004
Wu Jie; Fang Zhi-Cong; Xie Hong-Quan; Li Zheng-Hong	CHINESE PHYSICS C	superradiance; backward wave oscillator; particle-in-cell simulation	[Wu Jie; Xie Hong-Quan; Li Zheng-Hong] Southwestern Univ Sci & Technol, Coll Sci, Mianyang 621010, Peoples R China; [Fang Zhi-Cong] Xichang Coll, Xichang 615013, Peoples R China	Wu, J (reprint author), Southwestern Univ Sci & Technol, Coll Sci, Mianyang 621010, Peoples R China.	National Natural Science Foundation of China [61271109]	0	1674-1137	2013	WOS:000320597500014
Zhao Lihua; Li Mingyang; Cai Guangze; Pan Tianchun; Shan Chenghai	SCIENTIA HORTICULTURAE	Pomegranate; RAMP; Genetic diversity; Dendrogram	[Zhao Lihua; Shan Chenghai] Xichang Coll, Dept Agr Sci, Xichang 615013, Sichuan Provinc, Peoples R China; [Li Mingyang] Southwestern Univ, Flower Engn Technol Res Ctr, Chongqing 400715, Peoples R China; [Cai Guangze; Pan Tianchun] Xichang Coll, Sci & Technol Dept, Xichang 615013, Sichuan Provinc, Peoples R China	Zhao, LH (reprint author), Xichang Coll, Dept Agr Sci, Xichang 615013, Sichuan Provinc, Peoples R China.	Department of Education of Sichuan Province [08zc014]; Graduate Program of Xichang College [YJSA0615]	5	0304-4238	2013	WOS:000315706600009
Zhang, S-H; Zhu, L.; Wu, Z-H; Zhang, Y.; Tang, G-Q; Jiang, Y-Z; Li, M-Z; Bai, L.; Li, X-W	GENETICS AND MOLECULAR RESEARCH	Pig; Glycogenin-1; Muscle-fiber type; Glycolytic potential; Myosin heavy chains	[Zhang, S-H; Zhu, L.; Wu, Z-H; Tang, G-Q; Jiang, Y-Z; Li, M-Z; Bai, L.; Li, X-W] Sichuan Agr Univ, Coll Anim Sci & Technol, Yaan, Peoples R China; [Zhang, Y.] Xichang Coll, Dept Anim Sci, Xichang, Peoples R China	Li, XW (reprint author), Sichuan Agr Univ, Coll Anim Sci & Technol, Yaan, Peoples R China.	earmarked fund for China Agriculture Research System [CARS-36-05B]; International Science & Technology Cooperation Program of China [2011DFB30340]; Initiation Foundation Project of Chinese Education Ministry; Sichuan Sci & Tech Support Program	2	1676-5680	2013	WOS:000331717400128
Huang, Peng; Lin, Feng; Zhou, Jiliu	MATHEMATICAL PROBLEMS IN ENGINEERING		[Huang, Peng] Sichuan Univ, Coll Elect & Informat Engn, Chengdu 610065, Peoples R China; [Huang, Peng] Xichang Coll, Sch Automot & Elect Engn, Xichang 615000, Peoples R China; [Lin, Feng; Zhou, Jiliu] Sichuan Univ, Sch Comp Sci, Chengdu 610065, Peoples R China	Lin, F (reprint author), Sichuan Univ, Sch Comp Sci, Chengdu 610065, Peoples R China.	National Natural Science Foundation of China [61272448]; Doctoral Fund of Ministry of Education of China [20110181130007]; Science and Technology Supporting Plan of Sichuan [2011RZ0004, 2012GZ0005]; Xichang College Natural Science Foundation [XA1201]	0	1024-123X	2013	WOS:000321754100001
Yin, Fuqiang; Qin, Cheng; Gao, Jian; Liu, Ming; Luo, Xirong; Zhang, Wenyou; Liu, Hongjun; Liao, Xinhui; Shen, Yaou; Mao, Likai; Zhang, Zhiming; Lin, Haijian; Luebberstedt, Thomas; Pan, Guangtang	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES		[Yin, Fuqiang; Liu, Ming; Zhang, Wenyou] Xichang Coll, Sch Agr Sci, Xichang 615000, Peoples R China; [Yin, Fuqiang; Qin, Cheng; Gao, Jian; Liu, Hongjun; Shen, Yaou; Zhang, Zhiming; Lin, Haijian; Pan, Guangtang] Sichuan Agr Univ, Maize Res Inst, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Chengdu 611130, Peoples R China; [Qin, Cheng; Luo, Xirong] Zunyi Acad Agr Sci, Zunyi 563102, Peoples R China; [Liao, Xinhui; Mao, Likai] Beijing Genom Inst Shenzhen, Shenzhen 518083, Peoples R China; [Luebberstedt, Thomas] Iowa State Univ, Dept Agron, Ames, IA 50011 USA	Pan, GT (reprint author), Sichuan Agr Univ, Maize Res Inst, Key Lab Biol & Genet Improvement Maize Southwest, Minist Agr, Chengdu 611130, Peoples R China.	National Natural Science Foundation of China [30900901]; Sichuan Province Special Sci-Tech Projects [2006J13-039]; Ministry of Agriculture in China [2011ZX08003-003]; Key Laboratory of Tobacco Genetic and Breeding, State Tobacco Monopoly Administration (Molecular Mechanism of Drought Resistant in Tobacco)	0	1422-0067	2013	WOS:000352963700001
Deng, Yu; Sun, Chun-Qing; Cao, San-Jie; Lin, Tao; Yuan, Shi-Shan; Zhang, Hong-Biao; Zhai, Shao-Lun; Huang, Lv; Shan, Tong-Ling; Zheng, Hao; Wen, Xin-Tian; Tong, Guang-Zhi	VETERINARY MICROBIOLOGY	Bovine viral diarrhea virus; 5'-UTR; Pigs; Phylogenetic analysis	[Deng, Yu; Sun, Chun-Qing; Lin, Tao; Yuan, Shi-Shan; Zhang, Hong-Biao; Zhai, Shao-Lun; Huang, Lv; Shan, Tong-Ling; Zheng, Hao; Tong, Guang-Zhi] Chinese Acad Agr Sci, Shanghai Vet Res Inst, Shanghai 200241, Peoples R China; [Deng, Yu; Cao, San-Jie; Shan, Tong-Ling; Wen, Xin-Tian] Sichuan Agr Univ, Coll Vet Med, Yaan 625014, Peoples R China; [Deng, Yu] Xichang Coll, Sch Anim Sci, Xichang 615000, Peoples R China	Zheng, H (reprint author), Chinese Acad Agr Sci, Shanghai Vet Res Inst, Shanghai 200241, Peoples R China.	Key Scientific and Technological Project of Shanghai City [09391910800]; Shanghai Natural Foundation [11ZR1446200]	27	0378-1135	2012	WOS:000309316000029
Liu, Lijuan; You, Panli; Yin, Guangfu; Liao, Xiaoming; Huang, Zhongbing; Chen, Xianchun; Yao, Yadong	CURRENT APPLIED PHYSICS	Rare earth luminescence; Eu2+; Sm3+ co-doped; Photoluminescence; Li2SrSiO4	[Liu, Lijuan; You, Panli; Yin, Guangfu; Liao, Xiaoming; Huang, Zhongbing; Chen, Xianchun; Yao, Yadong] Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610065, Peoples R China; [You, Panli] Xichang Coll, Sch Engn Technol, Xichang 615013, Peoples R China	Yin, GF (reprint author), Sichuan Univ, Coll Mat Sci & Engn, 29 Wangjiang Rd, Chengdu 610065, Peoples R China.	National Natural Science Foundation of China [60871062, 50873066]; Key Technologies Research and Development Program of Sichuan Province [2010SZ0088, 2008SZ0021]	10	1567-1739	2012	WOS:000303129800008
Meng, Xiuxiang; Sih, Andrew; Li, Haitao; Cody, Nicholas	ANNALS OF ANIMAL SCIENCE	Alpine musk deer (Moschus sifanicus); fight techniques; social rank; influencing variables; welfare	[Meng, Xiuxiang; Cody, Nicholas] Minzu Univ China, Coll Life & Environm Sci, Beijing 100081, Peoples R China; [Sih, Andrew] Univ Calif Davis, Dept Environm Sci & Policy, Davis, CA 95616 USA; [Li, Haitao] Xichang Coll, Sch Anim Sci, Xichang 615013, Peoples R China	Meng, XX (reprint author), Minzu Univ China, Coll Life & Environm Sci, 27 Zhongguancun Nandajie, Beijing 100081, Peoples R China.	Nature Science Foundation of China [31170364, 30970374]; Minzu University of China [MUC98504-14, MUC98507-08]; Program for New Century Excellent Talents in University [NCET-08-0596]	0	2300-8733	2012	WOS:000309632700013
